timestamp,video time,track information,total up,man up,woman up,total down,man down,woman down
14:52:35,0:00:01.360000,"[{'ID': 0, 'location': array([261,  99]), 'gender': 'woman'}, {'ID': 1, 'location': array([220, 104]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:35,0:00:01.400000,"[{'ID': 0, 'location': array([260,  99]), 'gender': 'woman'}, {'ID': 1, 'location': array([220, 104]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:35,0:00:01.440000,"[{'ID': 0, 'location': array([262,  99]), 'gender': 'woman'}, {'ID': 1, 'location': array([221, 104]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:35,0:00:01.480000,"[{'ID': 0, 'location': array([261,  98]), 'gender': 'woman'}, {'ID': 1, 'location': array([223, 104]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:36,0:00:01.520000,"[{'ID': 0, 'location': array([262,  98]), 'gender': 'woman'}, {'ID': 1, 'location': array([224, 104]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:36,0:00:01.560000,"[{'ID': 0, 'location': array([260,  97]), 'gender': 'woman'}, {'ID': 1, 'location': array([223, 103]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:37,0:00:01.600000,"[{'ID': 0, 'location': array([260,  97]), 'gender': 'woman'}, {'ID': 1, 'location': array([223, 103]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:37,0:00:01.640000,"[{'ID': 0, 'location': array([262,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([186,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:37,0:00:01.680000,"[{'ID': 0, 'location': array([262,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([224, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([185,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:37,0:00:01.720000,"[{'ID': 0, 'location': array([263,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([185,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:37,0:00:01.760000,"[{'ID': 0, 'location': array([262,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([186,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:38,0:00:01.800000,"[{'ID': 0, 'location': array([262,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([187,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:38,0:00:01.840000,"[{'ID': 0, 'location': array([262,  97]), 'gender': 'woman'}, {'ID': 1, 'location': array([226, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([188,  82]), 'gender': 'man'}]",0,0,0,0,0,0
